UniqueCount	AmbigCount
27	113
3	0
0	14
23	35
302	111
803	460
319	127
0	0
170	83
982	239
0	25
22	71
8	9
0	15
2	1
1	0
103	76
777	18
1001	7
355	35
52	0
88	1
457	100
729	23
507	514
700	6
3	0
2	4
71	0
196	1
2183	1704
213	303
128	197
29	1
476	144
285	4
1893	37
4590	47
126	1
124	26
638	718
7877	131
2037	266
2761	33
51057	443
732	67
1372	15
5574	53
100	2
159	571
5751	58
417	2
329	3
36	31239
7	414
23	293
518	7
332	4
650	24
3144	25
288	3
77	1
508	6
46	0
1498	12
441	5
105	15
252	88
46057	30241
201	38
285	114
70	2
131	13
437	7
125	6
824	267
310	10
1386	14
622	9
1016	222
371	11
24	0
19	14604
11	1
797	5
222	3
30	2
492	11
46	101
158	104
117	1
48	0
218	2
2	0
1306	11
686	284
72	332
150	388
89	22
507	4
636	7
236	8
3242	21
408	8
159	4
1431	15
96	4
2024	90
286	9
589	12
474	34
172	2
2	27451
2611	9516
169	37
21	107797
10	1080443
13	199641
0	7
46	78
13	526169
14	1092522
28	64
0	397942
2	1
1195	37
2462	36
1694	28
643	504
12	407
493	5
56	7878
283	16
158	3
531	1
553	6
42	0
92	9897
241	8
802	17
373	3
164	4
109	1
182	4
24	4
36	3
60	0
90	10
94	31
112	0
65	0
46	0
872	266
214	2
246	2
186	2
0	0
270	282
2775	93
2910	79
0	120
114	0
224	598
19	8
45	29
6	6
4046	432
530	90
50	4
459	4
981	8
563	0
522	3
152	0
2524	28
17	118
3	14
0	14
34	1
62	279
36	54
63	2
94	2
183	173
9	0
30	26
7	91
694	115
1397	133
707	11
542	4
610	18
0	0
10	29119
239	8
275	244
72	0
49	217
43	0
79	18
626	51
367	46
5	2918
337	5817
1105	10929
6	5
211	8
362	6
767	6
874	8
1471	37
196	12
170	13
1435	23
484	4
299	2
3457	95
187	0
902	5
722	224
2136	967
957	4
10	454
767	1
2789	3273
255	3
225	3
10	1
7678	107
269	4
367	9
218	1
2438	28
15	0
496	111
39	162
346	10
346	13
52	2
0	0
5621	611
696	98
855	14
166	1
856	763
822	64
209	48
104	0
1820	345
87	3
203	31
4146	65
155	6
954	325
0	53
0	43
5	44
340	93
1	95
9	377
103	456
6	321
43	0
122	3
268	5
202	8
71	39
55	17
364	104
12	386
25	16
300	388
716	12
144	18
25	40
107	15
6	1
0	136
215	6
1068	14
563	7
23	0
104	39
0	82
715	132
233	342
1170	3
174	2
160	27
637	360
805	13
272	47
3	1462
1182	1859
855	226
757	72
1142	5
7778	110
158	29
567	5
39	0
0	244
737	8584
219	2939
852	6
63	0
31	147
557	3947
118	2921
585	686
392	28
52	0
89	39
0	0
0	436
174	2
708	24
212	1
628	24
587	4
1278	272
3069	2387
0	74
1662	68
344	834
1395	388
531	9
258	4
0	21713
187	9
507	10
785	91
21	0
2001	1344
2	54
27	35
199	1668
9939	108
58	0
0	0
0	731
18	41
0	65
395	11
0	250
116	0
781	269
0	172
102	62
663	307
509	141
218	8
339	223
30	22
3503	626
678	133
475	33
200	99
288	1
2756	1471
848	184
273	4
16344	586
100	1
138	6
132	3
552	8
1614	20
237	1
275	6
13	0
225	3
572	5
264	8
73491	766
294	11
10253	236
239	6
398	24
527	6
627	17
1098	24
66	20
572	92
260	71
26	1
1221	119
0	10483
13	7445
371	13
205	38
51	1
918	6065
28	9
253	65
2373	2113
7393	127
87	137
877	51
1818	156
359	4
480	285
546	106
1	142
237	232
367	56
206	4
909	310
184	3
20716	211
227	18
592	6
239	909
158	10
379	23
320	2
63	0
151	1
379	2
120	77
104	7
132	0
423	5
444	4
699	15
984	1891
366	747
2	24
808	299
9	4
18	12
273	4
177	14
1209	22
1186	9
162	156
73	0
1336	37
471	10
4480	227
1405	8
11	0
84	4
35	2938
5	1
15	3
87	0
25	0
295	61
738	64
363	46
5812	47
860	87
1758	53
7824	104
3485	35
1565	14
1004	11
172	1
92	486
317	174
420	373
99	45
158	2
217	0
2796	29
29	0
84	2547
106	0
247	30
568	5
109	11
1559	111
2190	30
70	10
2514	39
339	1
1950	28
453	13
174	154
0	10
0	90
0	18
0	0
67	228
0	109
6275	11085
83	9851
1	4
0	188
12	35
103	555
6	87
0	3
0	39
0	97
0	236
5	35
62	89
2564	59
131	90
319	5317
147	81
92	0
0	45
1	33
7	125
1	71
21	1243
593	79
134	1
443	9
14	0
186	2
263	2
1750	22
439	10
592	2
763	5
21	0
424	34
114	32
1065	17
1097	87
2181	137
572	1031
20	59
151	2
130	853
759	17
407	7
1038	218
341	6
317	2
777	8
160	0
1760	81
512	7
1	60
1441	18
1282	284
113	16
110	9
105	3
1008	12
284	36
172	112
1204	15
671	144
571	356
207	28
552	7
419	2
816	212
10	12
294	26
83	0
2411	22
396	3
638	1
133	31
588	47
1371	45
57	1
1207	266
109	7
590	7
68	2
2	0
146	3
348	1
133	451
38	0
167	6566
11	4733
1	162
9	0
0	14
63	235
0	31
379	76
114	17
0	61
422	9
0	7664
0	275
18	49
10	1933
143	5
44	213
1291	45
826	143
7	136
278	16
981	393
299	4
406	4702
303	43
478	230
1	75
883	234
469	119
42	191
55	1
366	101
1128	8
1533	509
37	1
119	10
50	9
273	3
1238	418
13	0
7	158
480	119
2189	18
1018	1127
201	1
152	0
110	2
87	2
3879	845
4500	74
14	871
129	0
318	3
549	46
43	0
149	4
186	53
12	0
108	0
78	0
163	102
724	143
201	5
397	10
336	1
509	62
824	150
73	0
2672	38
17	0
3	514
18	0
625	8
1216	13
449	2
519	82
2302	795
40	1
373	15
233	98
212	3
31	204
0	872
2	47469
0	2095
37	2
0	101
2	140
0	27
180	60
1	44306
5	436
0	3
19	59
17	4375
4	2
0	32
0	0
0	289
84	55
109	28
233	537
2	98
34	0
2	69
153	195
176	48
68	26
261	13
41	11
920	114
131	184
77	0
0	214
1	0
174	41
529	226
3	116
198	5
184	1
407	5
289	5
7	5
92	5
324	349
3498	35
590	200
1134	17
4934	184
501	36
2719	63
3	24
687	8
259	12
410	99
816	101
174	54
115	447
214	34
621	37
8810	97
124	6
170	0
497	53
390	18
1453	22
60	9
86	141
246	5
516	13
368	6
162	2
385	5
4121	54
23	1
1654	10
262	1123
10	2
0	1
120	437
342	3
963	16
9322	84
205	2
2	1
0	2
0	2645
1	756
0	10
620	75
0	251
0	178
295	112
0	46
1	253
103	943
1	57485
0	56
134	1585
323	1359
0	9
1	10
51	799
0	57
0	96
0	0
0	38
0	527
1	12
0	8
0	195
86	5
110	1
62	0
67	74
32	3916
122	1570
0	1815
91	882
0	253
70	17
378	20
390	40
1	3502
120	2
13	1
28	52
323	2
1935	15
520	29
68	150
381	27
169	1
143	4
1845	19
854	10
320	3
32581	316
44	56967
604	34236
24	122
395	168
158	188
207	193
175	1
1945	40
547	27
6	1
277	32
446	313
844	34
229	31
1470	5337
170	12
607	8
0	41
11441	138
122	340
3	112
528	14
1	1
1	0
16	28
4905	54
582	6259
0	0
3	35
0	1
323	36
14	43
0	0
2	0
0	0
63	16
304	82
0	39
0	28
3	198
0	1
0	0
271	59
4	65
556	59
74	25
1	234
0	38
7	17
13	938
1	1889
0	0
0	46
0	109
2	251
397	26
313	20
4592	232
423	7
182	2
61	2
234	5
1616	247
346	15
955	95
263	41
389	160
50	67
108	0
54	4
404	152
539	150
34	0
440	35
35	65
1108	499
14	0
1557	23
1022	3
611	260
48	1
11	17
13636	10808
109	1
253	11
935	4
155	3
23	0
773	12
598	4
757	29
973	31
229	12
384	15
265	231
218	6
1307	23
646	12
24	0
191	1
2496	92
970	55
42	12
143	16
1	1151
85	42
2	378
148	4001
772	36
21	852
1142	981
1	245
0	8
105	39
9	49
0	266
0	20
1	360
0	0
0	17
8	133
4	1529
0	471
10	2
