"","Replicate","Batch.x","Threshold","PC1","PC2","Stress","Sample","Condition","Batch.y","Batch2","AB","Bacs","file_ID","Replicate_Number"
"43","bE.A.1","with Batch",1,-7.68084126287474,1.09444952956801,9.74281922430515,"G05280","bE.A","a","f","yes","bac","G05280_salmon",1
"44","bE.A.1","w/o Batch",1,6.9352763666176,-0.903783770263108,10.3290309838624,"G05280","bE.A","a","f","yes","bac","G05280_salmon",1
"45","bE.A.1","with Batch",3,-7.68859080717591,1.04990318159054,9.84793335279049,"G05280","bE.A","a","f","yes","bac","G05280_salmon",1
"46","bE.A.1","w/o Batch",3,7.053617001999,-0.825017349650964,10.5206950795363,"G05280","bE.A","a","f","yes","bac","G05280_salmon",1
"47","bE.A.1","with Batch",10,-7.88920500684384,1.01630027480316,9.70443239753736,"G05280","bE.A","a","f","yes","bac","G05280_salmon",1
"48","bE.A.1","w/o Batch",10,7.01767250951265,-0.813792923276966,10.1965163307837,"G05280","bE.A","a","f","yes","bac","G05280_salmon",1
"49","bE.A.2","with Batch",0,-7.17267758642369,3.13684737961227,9.75993138621074,"G05284","bE.A","b","e","yes","bac","G05284_salmon",2
"50","bE.A.2","w/o Batch",0,8.36009798971286,3.54243470008037,10.4953061044631,"G05284","bE.A","b","e","yes","bac","G05284_salmon",2
"51","bE.A.2","with Batch",1,-6.96817219246744,3.24432656398051,9.74281922430515,"G05284","bE.A","b","e","yes","bac","G05284_salmon",2
"52","bE.A.2","w/o Batch",1,8.36378806286933,3.43781170243841,10.3290309838624,"G05284","bE.A","b","e","yes","bac","G05284_salmon",2
"53","bE.A.2","with Batch",3,-7.12341544776647,3.29461899308416,9.84793335279049,"G05284","bE.A","b","e","yes","bac","G05284_salmon",2
"54","bE.A.2","w/o Batch",3,8.36774297094246,3.71581927603243,10.5206950795363,"G05284","bE.A","b","e","yes","bac","G05284_salmon",2
"55","bE.A.2","with Batch",10,-7.30303410924642,3.14684900155866,9.70443239753736,"G05284","bE.A","b","e","yes","bac","G05284_salmon",2
"56","bE.A.2","w/o Batch",10,8.54673704538217,3.20035996657076,10.1965163307837,"G05284","bE.A","b","e","yes","bac","G05284_salmon",2
"57","bE.A.3","with Batch",0,-8.42242499684723,2.29788058405786,9.75993138621074,"G05286","bE.A","b","d","yes","bac","G05286_salmon",3
"58","bE.A.3","w/o Batch",0,6.16265557808516,1.77787990443818,10.4953061044631,"G05286","bE.A","b","d","yes","bac","G05286_salmon",3
"59","bE.A.3","with Batch",1,-8.55836118546522,2.15782069851406,9.74281922430515,"G05286","bE.A","b","d","yes","bac","G05286_salmon",3
"60","bE.A.3","w/o Batch",1,6.55044312070345,1.71475408983889,10.3290309838624,"G05286","bE.A","b","d","yes","bac","G05286_salmon",3
"61","bE.A.3","with Batch",3,-8.53228656742992,2.19477419302699,9.84793335279049,"G05286","bE.A","b","d","yes","bac","G05286_salmon",3
"62","bE.A.3","w/o Batch",3,6.30098989854642,1.88549086020734,10.5206950795363,"G05286","bE.A","b","d","yes","bac","G05286_salmon",3
"63","bE.A.3","with Batch",10,-8.62246983920241,2.04359416713689,9.70443239753736,"G05286","bE.A","b","d","yes","bac","G05286_salmon",3
"64","bE.A.3","w/o Batch",10,6.67890800122323,0.106475082551532,10.1965163307837,"G05286","bE.A","b","d","yes","bac","G05286_salmon",3
"65","bE.A.4","with Batch",0,-8.40143456239384,1.46960291955903,9.75993138621074,"G05290","bE.A","b","b","yes","bac","G05290_salmon",4
