"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","ClusterSize"
"1","03050 Proteasome","03050 Proteasome","25/1528","38/4470",6.48838304816869e-05,0.00568567959769137,0.00504241787777022,"NVE190/NVE461/NVE1940/NVE3702/NVE3751/NVE4427/NVE5600/NVE5765/NVE9282/NVE9987/NVE10183/NVE10642/NVE11219/NVE12627/NVE12759/NVE12955/NVE15913/NVE17462/NVE18329/NVE18355/NVE19830/NVE20755/NVE21267/NVE22428/NVE22672",25,38
"2","04141 Protein processing in endopla","04141 Protein processing in endopla","65/1528","126/4470",3.43482424603128e-05,0.00568567959769137,0.00504241787777022,"NVE155/NVE227/NVE442/NVE986/NVE1155/NVE1311/NVE1554/NVE2020/NVE3220/NVE3780/NVE3781/NVE3816/NVE3918/NVE4209/NVE4437/NVE4881/NVE5203/NVE5287/NVE6044/NVE6477/NVE6578/NVE6748/NVE7481/NVE8904/NVE9018/NVE9443/NVE10734/NVE11159/NVE11407/NVE11632/NVE11717/NVE11918/NVE12650/NVE13177/NVE13315/NVE13347/NVE13366/NVE13984/NVE14073/NVE14897/NVE14927/NVE15353/NVE15435/NVE15733/NVE15734/NVE15835/NVE18735/NVE18979/NVE19479/NVE19531/NVE19961/NVE20202/NVE20347/NVE20412/NVE21987/NVE22467/NVE22525/NVE22537/NVE22939/NVE23298/NVE24912/NVE24947/NVE25674/NVE26074/NVE26200",65,126
"3","04210 Apoptosis","04210 Apoptosis","47/1528","86/4470",6.71536960357249e-05,0.00568567959769137,0.00504241787777022,"NVE39/NVE155/NVE2436/NVE2699/NVE2702/NVE2870/NVE3215/NVE3937/NVE4068/NVE4490/NVE5223/NVE5282/NVE6394/NVE6831/NVE6951/NVE7034/NVE8125/NVE8886/NVE9232/NVE9425/NVE10878/NVE10879/NVE11066/NVE11230/NVE12665/NVE13179/NVE13315/NVE14201/NVE14884/NVE14885/NVE14933/NVE15261/NVE15488/NVE16876/NVE18711/NVE19367/NVE20202/NVE20303/NVE20305/NVE21090/NVE21503/NVE21851/NVE23160/NVE23298/NVE25257/NVE25517/NVE25828",47,86
