"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE80",0,0,0,0,0,0,0.37740623840966,0.416066751304091,0,0.514788531682879
"NVE81",0,0,0,0,0.458660399107221,0.384566523950415,0.481039374246558,0.684523270779751,0,0.72930252031911
"NVE82",0,0,0,0,0,0,0,0,0,0
"NVE83",0,0,0,0,0,0,0,0,0,0
"NVE84",0,0,0,0,0,0,0,0,0,-0.963329757813965
"NVE85",0,0,0,0,0.325624491168055,0,0,0,0,0
"NVE86",0,0,0,0,0,0,0,0,0,0
"NVE87",0,0,0,0,0,0,0,0,0,0
"NVE88",0,0,0,0,0,0,0,0,0,0
"NVE89",0,0,0,0,0,0,0,0,0,0
"NVE90",0.660728410425279,0,0,0,0,0,0,0,0,0
"NVE91",0,0,0,0,0,0,0,0,0,0
"NVE92",0,0,0,0,0,0,0,0,0,0
"NVE93",0,0,0,0,0,0,0,0,0,0
"NVE94",0,0,0,0,0,0,0,0,0,0
"NVE95",0,0,0,0,0,0,0,0,0,0
"NVE96",0,0,0,0,0,0,0,0,0,0
"NVE97",0,-0.389226150858931,-0.451430266930543,0,0,0,-0.542929708268821,0,0,0
"NVE98",0,0,0,0,0.58651685856998,0,0,0.822782762728061,0,0.966490029725477
"NVE99",0,0,0,0,0,0,0,0,0,0
"NVE100",0.414273953538512,0,0,0,0.653273348288692,0.448351008575124,0.650740616922989,0.885709818330627,0.471435864792114,0.904763442520204
"NVE101",0,0,0,0,-0.308883574532424,0,0,-0.368975573834505,0,-0.436293363924658
"NVE102",0,0,0,0,0,-0.3670017167694,0,0,0,0
"NVE103",0,0,0,0,0,0,0,0,0,0
"NVE104",0,0,0,0,0,0,0,0,0,0
"NVE105",0,0,0,0,0,0,0,0,0,0
"NVE106",0,0,0,0,0,0,0,0,0,0
"NVE107",0,0,0,0,0,0,0,0,0,0
"NVE108",-1.21649948341975,0,0,0,-1.40965481704195,-0.843557984790256,-1.18879773359702,-1.57860597790073,0,-1.29380877324523
"NVE109",0,0,0,0,0,0,0,0,0,0
"NVE110",0,0,0,0,0.270420674526008,0,0.364415077464369,0.404775960821729,0,0.463080209264145
"NVE111",0,0,0,0,0,0,0,0,0,0
"NVE112",0,0,0,0,0.384592219781758,0.339325434614256,0,0.491692279091525,0,0.568382674202474
"NVE113",0,0,-0.955106894402931,-0.904948504655963,0,0,0,0,0.869130700878792,0.897112051954857
"NVE114",0,0,-0.579234908307453,-0.58619081504072,0,0,0,0,0.593115262962871,0.569774062201493
"NVE115",-0.780237304001599,0,0,0,-0.9465707592543,0,-1.26649803638188,-1.28792125021894,0,-1.1970704409297
"NVE116",-0.934487791832066,0,0,0,-1.32752395493211,-0.779194233908728,-1.22502553137553,-1.62525070358734,-0.690762911755275,-1.54400942006979
"NVE117",-1.11748664603305,0,0,0,-1.20525360541845,-0.71006721320031,-1.05173160966628,-1.33323631296517,0,-1.03265772459205
"NVE118",0,0,0,0,0,0,0,0,0,0
"NVE119",0,0,0,0,0,0,0,0,0,0
"NVE120",0,0,0,0,-0.991197592763297,0,-0.784900037988879,-1.18447826858566,0,-1.24422119499932
"NVE121",-1.05460677199469,0,0,0,-1.42676224845272,-0.76094036256129,-1.22340816927359,-1.62482340303185,0,-1.46336031966503
"NVE122",-0.960807125948696,0,0,0,-0.908967334782308,0,-0.996396935427276,-1.09252472540439,0,0
"NVE123",-0.654990338643303,-1.72681278891344,-1.39265522838548,-1.29615567345842,1.07182245027013,0.737664889742181,0.641165334815115,1.73238808954126,2.38737842818456,2.74651072082765
"NVE124",-0.924239668650769,0,0,0,0,0,0,0,0,0
"NVE125",0,0,0,0,0,0,0,0,0,1.056037242748
"NVE126",0,0,0,0,-0.246397378028599,0,0,-0.281078575313772,0,-0.354098681690524
"NVE127",0,0,0,0,0,0,-0.47233933428217,-0.405927076415972,0,-0.39082905780243
"NVE128",0,0,0,0,0,-0.38327252863025,-0.335179456656977,-0.438325024231247,0,-0.444703023342544
"NVE129",0.380174193524687,0,0,0,0.579839779925008,0.50980974441441,0.458778083548902,0.776987368723194,0.396813175198506,0.782533294781069
"NVE130",0,0,0,0,0,0,0,0,0,0
"NVE131",0,0,0,0,0,0,0,0,0,0
"NVE132",0,0,0,0,0,0,0,0,0,0
"NVE133",0,0,0.710955822200129,0.592186585676057,0,-0.573213427723153,0,-0.687744350036241,-0.825486744513217,-1.0088210251808
"NVE134",0,0,0,0,0,0,0,0,0,0
"NVE135",-0.68330768274849,0.709074708493774,0,0.745236183935322,-1.39238239124226,-0.679803436154352,-1.42854386668381,-1.82711433700763,-1.14380665425914,-1.98061433279554
"NVE136",0,0,0,0,0.520456799000013,0,0,0.723798920479719,0.775190645384411,0.999326029258122
"NVE137",0,-0.901137170104518,0,0,0.609967101317272,0,0,0.82411491900598,1.11528498779323,1.29293304780145
"NVE138",0,0,0,0,-0.397818205288151,0,-0.536692394294603,-0.497538239344152,0,0
"NVE139",0,0,0,0,0,0,0,0,0,0
"NVE140",0,0,0,0,0,0,0,0,0,0
"NVE141",0,0,0,0,-0.655032450048493,-0.491430699186399,-0.690926273893717,-1.00999458825323,-0.778897909695413,-1.1925953271331
"NVE142",0,0,0,0,0.444854585556249,0,0,0,0,0
"NVE143",0,0,0,0,0,0,0,0,0,0
"NVE144",0.66853120016856,0,0,0,0.498492856446296,0,0.58162454101917,0.621817936907557,0,0
