"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE2151",0,0,0,0,0,0,0,0,0,0
"NVE2152",0,1,0,1,1,0,0,1,1,1
"NVE2153",0,0,0,0,0,0,0,0,0,0
"NVE2154",0,0,0,0,0,0,0,0,0,0
"NVE2155",0,0,0,0,0,0,0,0,0,0
"NVE2156",1,0,0,0,1,0,1,1,0,0
"NVE2157",0,0,0,0,0,0,0,0,0,0
"NVE2158",0,0,0,0,0,0,0,0,0,0
"NVE2159",0,0,0,0,1,0,0,1,0,0
"NVE2160",0,0,0,0,0,0,0,0,0,0
"NVE2161",0,0,0,0,0,0,0,1,0,1
"NVE2162",0,0,0,0,0,0,0,0,0,0
"NVE2163",0,0,0,0,0,0,0,0,0,0
"NVE2164",0,1,0,0,1,0,0,0,0,0
"NVE2165",0,0,0,0,0,0,0,0,0,0
"NVE2166",0,0,0,0,1,0,1,1,1,1
"NVE2167",0,0,0,0,0,0,0,0,0,0
"NVE2168",0,0,0,0,1,0,0,0,0,0
"NVE2169",0,0,0,0,0,0,0,0,0,0
"NVE2170",0,0,0,0,0,0,0,0,0,0
"NVE2171",0,0,0,0,1,0,0,1,0,0
"NVE2172",0,1,0,0,1,1,1,1,1,1
"NVE2173",0,1,0,0,1,0,1,1,0,1
"NVE2174",0,0,0,0,0,0,0,0,0,0
"NVE2175",0,0,0,0,0,0,0,0,0,0
"NVE2176",0,0,0,0,0,0,0,0,0,0
"NVE2177",1,0,0,0,1,0,1,1,0,0
"NVE2178",1,0,0,0,1,1,1,1,0,0
"NVE2179",1,1,0,0,1,1,1,1,1,1
"NVE2180",0,0,0,0,0,0,0,0,0,0
"NVE2181",0,0,0,0,1,0,1,1,0,1
"NVE2182",0,0,0,0,1,0,0,1,0,1
"NVE2183",0,0,0,0,0,0,0,0,0,0
"NVE2184",0,0,0,0,0,0,0,0,0,0
"NVE2185",0,0,0,0,0,0,0,0,0,0
"NVE2186",0,0,0,0,0,0,0,0,0,0
"NVE2187",1,0,0,0,1,1,1,1,0,1
"NVE2188",0,0,0,0,0,0,0,0,0,0
"NVE2189",0,0,0,0,0,0,0,0,0,0
"NVE2190",0,0,0,0,0,0,0,0,0,0
"NVE2191",0,0,0,0,0,0,0,0,0,0
"NVE2192",0,0,0,0,0,0,0,0,0,0
"NVE2193",0,1,0,0,1,0,0,1,1,1
"NVE2194",0,1,0,0,1,0,1,1,1,1
"NVE2195",0,0,0,0,0,0,0,0,0,0
"NVE2196",0,0,0,0,0,0,0,0,0,0
"NVE2197",0,0,0,0,0,0,0,0,0,0
"NVE2198",0,0,0,0,1,0,0,1,0,0
"NVE2199",1,0,0,0,1,0,0,1,0,0
"NVE2200",1,0,0,1,0,0,0,0,1,0
"NVE2201",0,0,0,0,0,0,0,0,0,0
"NVE2202",1,0,0,0,1,0,0,1,0,0
"NVE2203",0,0,0,0,1,0,1,1,0,1
"NVE2204",0,0,0,0,0,0,0,0,0,0
"NVE2205",1,0,0,0,1,1,1,1,0,1
"NVE2206",0,1,0,0,1,0,0,1,1,1
"NVE2207",0,1,0,0,1,0,0,1,1,1
"NVE2208",0,0,0,0,0,0,0,0,0,0
"NVE2209",1,0,0,0,1,0,0,1,0,0
"NVE2210",0,0,0,0,0,0,0,0,0,0
"NVE2211",0,0,0,0,0,0,0,0,0,0
"NVE2212",0,0,0,0,0,0,0,0,0,0
"NVE2213",0,0,0,0,1,0,1,0,0,0
"NVE2214",0,0,0,0,0,0,0,0,0,0
"NVE2215",0,0,0,0,0,0,0,0,0,0
"NVE2216",1,1,0,0,1,1,0,1,1,1
"NVE2217",1,1,0,0,1,1,1,1,1,1
"NVE2218",0,0,0,0,0,0,0,0,0,0
"NVE2219",0,0,0,0,0,0,0,0,0,0
"NVE2220",0,0,0,0,0,0,0,0,0,0
"NVE2221",0,0,0,0,0,0,0,0,0,0
"NVE2222",0,1,0,0,1,1,1,1,1,1
"NVE2223",0,1,0,1,1,1,1,1,1,1
"NVE2224",0,0,0,0,1,0,0,0,0,0
"NVE2225",0,0,0,0,0,0,0,0,0,0
"NVE2226",0,0,0,0,0,0,0,0,0,0
"NVE2227",0,0,0,0,0,0,0,0,0,0
"NVE2228",0,0,0,0,1,1,0,1,0,1
"NVE2229",0,0,0,0,0,0,0,0,0,0
"NVE2230",1,0,0,0,1,1,1,1,0,1
"NVE2231",0,0,0,0,0,0,0,0,0,0
"NVE2232",0,0,0,0,0,0,0,0,0,0
"NVE2233",0,0,0,0,0,0,0,0,0,0
"NVE2234",0,0,0,0,1,0,0,1,0,0
"NVE2235",0,0,0,0,1,0,0,1,0,1
"NVE2236",0,0,0,0,0,0,0,0,0,0
"NVE2237",1,0,0,0,1,1,1,1,0,1
"NVE2238",0,0,0,0,0,0,0,0,0,0
"NVE2239",0,0,0,0,0,0,0,0,0,0
"NVE2240",0,0,0,0,0,0,0,0,0,0
"NVE2241",0,0,0,0,0,0,0,0,0,0
"NVE2242",1,1,1,0,0,0,0,0,1,0
"NVE2243",0,0,0,0,0,0,0,0,0,0
"NVE2244",0,0,0,0,0,0,0,0,0,0
"NVE2245",0,1,0,0,0,0,0,0,0,0
"NVE2246",0,0,0,0,0,0,0,0,0,0
"NVE2247",0,0,0,0,0,0,0,0,0,0
"NVE2248",0,0,0,0,0,0,0,0,0,0
"NVE2249",0,0,0,0,0,0,0,0,0,0
"NVE2250",0,0,0,0,0,0,0,0,0,0
"NVE2251",0,0,0,0,0,0,0,0,0,0
"NVE2252",0,0,0,1,0,1,1,1,1,1
"NVE2253",0,1,0,0,1,1,1,1,1,1
"NVE2254",0,0,0,0,0,0,0,0,0,0
"NVE2255",0,0,0,0,0,0,0,0,0,0
"NVE2256",0,0,0,0,0,0,0,1,0,1
"NVE2257",0,0,0,0,1,1,0,1,0,0
"NVE2258",0,0,1,0,0,0,0,0,0,0
"NVE2259",0,1,0,0,1,0,0,1,0,1
"NVE2260",0,0,0,0,0,0,0,0,0,0
"NVE2261",0,1,0,0,1,0,0,1,1,1
"NVE2262",0,0,0,0,1,0,0,1,0,0
"NVE2263",0,0,0,0,1,0,0,0,0,0
"NVE2264",0,0,0,0,0,0,0,0,0,0
"NVE2265",1,0,0,0,1,1,1,1,0,1
"NVE2266",0,1,1,1,0,1,1,1,1,1
"NVE2267",1,1,0,1,1,1,1,1,1,1
"NVE2268",0,0,0,0,0,0,1,0,0,0
"NVE2269",0,0,0,0,0,0,0,0,0,0
"NVE2270",0,0,0,0,0,0,0,0,0,0
"NVE2271",0,0,0,0,1,0,0,1,0,1
"NVE2272",0,1,0,0,1,0,0,1,0,1
"NVE2273",0,1,0,1,1,0,1,1,1,1
"NVE2274",0,0,0,0,0,0,0,0,0,0
"NVE2275",1,1,0,0,1,1,1,1,0,1
"NVE2276",0,0,0,0,1,0,1,1,0,1
"NVE2277",1,0,0,0,1,1,1,1,0,1
"NVE2278",0,0,0,0,0,0,0,0,0,0
"NVE2279",0,0,0,0,0,0,0,0,0,0
"NVE2280",0,0,0,0,0,0,0,0,0,0
"NVE2281",0,0,0,0,1,0,0,0,0,0
"NVE2282",0,0,0,0,0,0,0,0,0,0
"NVE2283",0,0,0,0,0,0,0,0,0,0
"NVE2284",1,0,0,0,1,1,1,1,0,1
"NVE2285",0,0,0,0,0,0,0,0,0,0
"NVE2286",0,0,0,0,0,0,0,0,0,0
"NVE2287",0,0,0,0,1,0,1,0,0,0
"NVE2288",0,0,0,0,0,0,0,0,0,0
"NVE2289",0,0,0,0,0,0,0,0,0,0
"NVE2290",0,0,0,0,0,0,1,0,0,0
"NVE2291",0,0,0,0,0,0,0,0,0,0
"NVE2292",0,0,0,0,0,0,0,0,0,0
"NVE2293",0,0,0,0,0,0,0,0,0,0
"NVE2294",0,0,0,0,0,0,0,0,0,0
"NVE2295",0,0,0,0,0,0,0,1,0,1
"NVE2296",0,1,0,0,1,0,1,1,1,1
"NVE2297",0,0,0,0,0,0,0,0,0,0
"NVE2298",0,0,0,0,0,0,1,0,0,0
"NVE2299",0,0,0,0,0,0,0,0,0,0
"NVE2300",0,0,0,0,0,0,0,0,0,0
"NVE2301",0,0,0,0,0,0,0,0,0,0
"NVE2302",0,0,0,0,0,0,0,0,0,0
"NVE2303",0,0,0,0,0,0,0,0,0,0
"NVE2304",0,0,0,0,0,0,0,0,0,0
"NVE2305",0,0,0,0,0,0,0,0,0,0
"NVE2306",0,0,0,0,0,0,0,0,0,0
"NVE2307",0,0,0,0,1,0,1,1,0,1
"NVE2308",0,0,0,0,0,0,0,1,0,0
"NVE2309",0,0,0,0,1,0,1,1,1,1
"NVE2310",0,0,0,0,0,0,0,0,0,0
"NVE2311",0,0,0,0,1,0,0,1,0,0
"NVE2312",0,0,0,0,0,0,0,0,0,0
"NVE2313",0,0,0,0,0,0,0,0,0,0
"NVE2314",0,0,0,0,0,0,0,0,0,0
"NVE2315",0,0,0,0,1,1,1,1,1,1
"NVE2316",1,1,0,0,0,0,1,0,1,0
"NVE2317",0,0,0,0,0,0,0,0,0,0
"NVE2318",0,0,0,0,1,0,1,1,0,1
"NVE2319",0,0,0,0,0,0,0,0,0,0
"NVE2320",0,0,0,0,0,0,0,0,0,0
"NVE2321",0,0,0,0,0,0,0,0,0,0
"NVE2322",0,0,0,0,0,0,0,0,0,0
"NVE2323",0,0,0,0,1,0,0,0,0,0
"NVE2324",0,0,0,0,0,0,1,1,0,0
"NVE2325",0,0,0,0,1,0,0,0,0,0
"NVE2326",0,1,0,0,1,0,0,1,0,1
"NVE2327",0,0,0,0,0,0,0,0,0,0
"NVE2328",0,0,1,0,1,1,1,1,1,1
"NVE2329",0,1,0,1,0,0,0,0,1,1
"NVE2330",0,0,0,0,1,1,1,1,1,1
"NVE2331",0,0,0,0,1,0,0,1,0,1
"NVE2332",0,0,0,0,0,0,0,1,0,0
"NVE2333",0,0,0,0,1,1,0,1,0,1
"NVE2334",0,0,0,0,0,0,1,1,0,1
"NVE2335",0,0,0,0,0,0,0,0,0,0
"NVE2336",0,0,1,1,0,1,0,1,1,1
"NVE2337",0,0,0,0,1,0,0,0,0,0
"NVE2338",0,0,0,0,0,0,0,0,0,0
"NVE2339",0,0,0,0,0,0,0,0,0,0
"NVE2340",0,0,0,0,0,0,0,0,0,0
"NVE2341",0,0,0,0,0,0,0,0,0,0
"NVE2342",0,0,0,0,0,0,0,0,0,0
"NVE2343",1,0,0,0,1,1,1,1,0,1
"NVE2344",0,0,0,0,0,0,0,0,0,0
"NVE2345",0,0,0,0,0,0,0,0,0,0
"NVE2346",0,0,0,0,0,0,0,0,0,0
"NVE2347",0,0,0,0,0,0,0,1,1,1
"NVE2348",0,0,0,0,0,1,0,0,0,0
"NVE2349",0,0,0,0,0,0,0,0,0,0
"NVE2350",0,0,0,0,0,0,0,0,0,0
"NVE2352",0,0,0,0,0,0,0,0,0,0
"NVE2353",0,0,0,0,0,0,0,0,0,0
"NVE2354",0,0,0,0,0,0,0,0,0,0
"NVE2355",0,0,0,0,0,0,0,0,0,0
"NVE2356",0,0,0,0,0,0,0,0,0,0
"NVE2357",0,0,0,0,0,0,0,0,0,0
"NVE2358",0,0,0,0,0,0,0,0,0,0
"NVE2359",0,0,0,0,0,0,0,0,0,0
"NVE2360",0,0,0,0,0,0,0,0,0,0
"NVE2361",0,0,0,0,0,0,0,0,0,0
"NVE2362",0,0,0,0,0,0,0,0,0,0
"NVE2363",0,0,0,0,0,0,0,0,0,0
"NVE2364",0,0,0,0,0,0,0,0,0,0
"NVE2365",0,0,0,0,1,0,1,1,0,1
"NVE2366",0,0,0,0,0,0,0,0,0,0
"NVE2367",0,0,0,0,0,0,0,0,0,0
"NVE2368",0,0,0,0,0,0,0,0,0,0
"NVE2369",0,0,0,0,0,0,0,0,0,0
"NVE2370",0,0,0,0,0,0,0,0,0,0
"NVE2371",0,0,0,0,1,0,1,1,0,1
"NVE2372",0,0,0,0,1,0,1,1,1,1
"NVE2373",0,0,0,0,0,0,0,0,0,0
"NVE2374",0,0,0,0,0,0,0,0,0,0
"NVE2375",1,0,0,0,1,1,1,1,1,1
"NVE2376",0,0,0,0,0,0,0,0,0,0
"NVE2377",0,1,0,0,1,0,1,1,1,1
"NVE2378",0,0,0,0,1,1,1,1,1,1
"NVE2379",0,0,0,0,0,0,0,0,0,0
"NVE2380",0,0,0,0,0,0,1,1,0,1
"NVE2381",0,0,0,0,0,0,0,0,0,0
"NVE2382",1,0,0,0,1,0,1,1,0,0
"NVE2383",0,0,0,0,0,0,0,0,0,0
"NVE2384",0,0,0,0,0,0,0,0,0,0
"NVE2385",0,0,0,0,0,0,0,0,0,0
"NVE2386",0,0,0,0,0,0,0,0,0,0
"NVE2387",0,0,0,0,0,0,0,0,0,0
"NVE2388",0,0,0,0,0,0,0,0,0,0
"NVE2389",0,0,0,0,0,0,0,0,0,0
"NVE2390",1,0,0,0,1,0,1,1,0,1
"NVE2391",1,0,0,0,1,1,1,1,1,1
"NVE2392",0,0,0,0,1,1,1,1,1,1
"NVE2393",0,0,0,0,0,0,0,0,0,0
"NVE2394",0,0,0,0,1,0,1,1,0,1
"NVE2395",0,0,0,0,0,0,0,0,0,0
"NVE2396",0,0,0,0,0,0,0,0,0,0
"NVE2397",0,0,0,0,1,0,0,0,0,0
"NVE2398",0,0,0,0,1,0,0,0,0,0
"NVE2399",0,0,0,0,0,0,0,0,0,0
"NVE2400",0,1,0,0,1,0,0,0,1,1
"NVE2401",0,0,0,0,0,0,0,0,0,0
"NVE2402",0,1,0,0,1,0,0,1,1,1
"NVE2403",0,0,0,0,0,0,0,0,0,0
"NVE2404",0,0,0,0,0,0,0,0,0,0
"NVE2405",0,0,0,0,0,0,0,0,0,0
"NVE2406",0,0,0,0,0,0,0,0,0,0
"NVE2407",0,0,0,0,0,0,0,0,0,0
"NVE2408",0,0,0,0,0,0,0,0,0,0
"NVE2410",0,0,0,0,0,0,0,0,0,0
"NVE2411",0,0,0,0,0,0,0,0,0,0
"NVE2412",0,0,0,0,0,0,0,0,0,0
"NVE2413",0,0,0,0,0,0,0,0,0,0
"NVE2414",0,0,0,0,1,0,0,0,0,0
"NVE2415",0,0,0,0,0,0,1,0,0,0
"NVE2416",0,0,0,0,1,0,0,0,0,0
"NVE2417",0,0,0,0,0,0,0,0,0,0
"NVE2418",1,0,0,0,1,1,1,1,0,1
"NVE2419",0,0,1,1,0,1,1,1,1,1
"NVE2420",0,1,1,1,0,1,1,1,1,1
"NVE2421",0,0,0,0,0,0,0,0,0,0
"NVE2422",1,0,0,0,1,0,1,1,0,0
"NVE2423",0,0,0,0,1,0,1,1,0,0
"NVE2424",0,0,0,0,0,0,0,0,0,0
"NVE2425",0,0,0,0,1,0,1,1,0,1
"NVE2426",0,1,0,0,1,0,0,1,1,1
"NVE2427",0,0,0,0,0,0,0,0,0,0
"NVE2428",0,0,0,0,0,0,0,0,0,0
"NVE2429",0,0,0,0,1,1,1,1,0,1
"NVE2430",0,0,0,0,1,0,0,1,0,0
"NVE2431",0,0,0,0,0,0,0,0,0,0
"NVE2432",0,0,0,0,0,1,1,1,0,1
"NVE2433",0,0,0,0,1,1,0,1,0,1
"NVE2434",0,0,0,0,0,0,0,0,0,0
"NVE2435",0,0,0,0,0,0,1,1,0,0
"NVE2436",0,0,0,0,1,0,0,1,0,1
"NVE2437",0,1,0,0,0,0,0,0,0,0
"NVE2438",0,0,0,0,0,0,0,0,0,0
"NVE2439",0,0,0,0,0,0,0,0,0,0
"NVE2440",0,0,0,0,0,0,0,0,0,0
"NVE2441",0,0,0,0,0,0,0,0,0,0
"NVE2442",0,0,0,0,0,0,0,0,0,0
"NVE2443",0,0,0,0,0,0,0,0,0,0
"NVE2444",0,0,0,0,0,0,0,0,0,0
"NVE2445",1,0,0,0,1,1,1,1,1,1
"NVE2446",0,0,0,1,0,0,1,0,1,1
"NVE2447",1,0,0,0,1,1,1,1,0,1
"NVE2448",0,0,0,0,1,0,0,1,0,0
"NVE2449",1,0,0,0,1,1,1,1,1,1
"NVE2450",0,0,0,0,0,0,0,0,0,0
"NVE2451",0,0,0,0,0,0,0,0,0,0
"NVE2452",0,0,0,0,0,0,0,0,0,0
"NVE2453",1,0,0,0,1,1,1,1,0,1
"NVE2454",1,0,0,0,1,1,1,1,1,1
"NVE2455",0,0,0,0,0,0,0,0,0,0
"NVE2456",1,1,0,0,1,1,1,1,1,1
"NVE2457",0,0,0,0,0,0,0,0,0,0
"NVE2458",0,0,0,0,0,0,0,0,0,0
"NVE2460",0,0,0,0,0,0,0,0,0,0
"NVE2461",0,0,0,0,0,0,0,0,0,0
"NVE2462",0,0,0,0,0,0,0,0,0,0
"NVE2463",0,0,0,0,0,0,0,0,0,0
"NVE2464",0,0,0,0,0,0,0,0,0,0
"NVE2465",0,0,0,0,0,0,0,0,0,0
"NVE2466",0,0,0,0,0,0,0,0,0,0
"NVE2467",0,0,0,0,0,0,0,0,0,0
"NVE2468",0,0,0,0,0,0,0,0,0,0
"NVE2469",0,0,0,0,0,0,0,0,0,0
"NVE2470",0,0,0,0,0,1,0,0,0,0
"NVE2471",0,0,0,0,0,0,0,0,0,0
"NVE2472",0,1,0,0,1,1,1,1,1,1
"NVE2473",0,0,0,0,0,0,0,0,0,0
"NVE2474",0,0,0,0,0,0,0,0,0,0
"NVE2475",0,0,0,0,0,0,0,0,0,0
"NVE2476",0,0,0,0,0,0,0,0,0,0
"NVE2477",0,0,0,0,0,0,0,0,0,0
"NVE2478",0,0,0,0,0,0,0,0,0,0
"NVE2479",0,0,0,0,0,0,0,0,0,0
"NVE2480",0,0,0,0,0,0,0,0,0,0
"NVE2481",0,0,0,0,1,0,0,1,0,0
"NVE2482",0,0,0,0,0,0,0,0,0,0
"NVE2483",0,0,0,0,0,0,0,0,0,0
"NVE2484",0,0,0,0,0,1,0,0,0,0
"NVE2485",0,0,0,0,0,0,0,0,0,0
"NVE2486",0,0,0,0,0,0,0,0,0,0
"NVE2487",0,0,0,0,0,0,0,0,0,0
"NVE2488",0,0,0,0,0,0,0,0,0,0
"NVE2489",0,1,1,0,1,1,0,1,1,1
"NVE2490",0,0,0,0,0,0,0,0,0,0
"NVE2491",0,0,0,0,0,0,1,0,0,0
"NVE2492",0,1,0,0,1,0,1,1,1,1
"NVE2493",0,0,0,0,1,0,1,1,0,1
"NVE2494",0,0,0,0,0,0,0,0,0,0
"NVE2495",0,0,0,1,1,0,1,1,1,1
"NVE2496",0,0,1,1,0,1,1,1,1,1
"NVE2497",0,0,0,0,0,0,0,0,0,0
"NVE2498",0,0,0,0,0,0,0,0,0,0
"NVE2499",0,0,0,0,1,0,0,0,0,0
"NVE2500",0,0,0,0,0,0,0,0,0,0
"NVE2501",0,1,1,0,1,1,1,1,1,1
"NVE2502",0,0,0,0,0,0,0,0,0,0
"NVE2504",0,0,0,0,1,0,1,1,0,1
"NVE2505",1,0,0,0,1,1,1,1,1,1
"NVE2506",0,0,0,0,0,1,0,1,0,0
"NVE2507",0,0,0,0,0,0,0,1,0,0
"NVE2508",1,0,0,0,1,1,1,1,0,1
"NVE2509",0,0,0,0,0,0,0,0,0,0
"NVE2510",0,0,0,0,1,1,0,1,0,1
"NVE2511",0,0,0,0,0,0,0,0,0,0
"NVE2512",1,0,0,0,0,0,0,0,0,0
"NVE2513",0,0,0,0,0,0,0,0,0,0
"NVE2514",0,0,0,0,0,0,0,1,0,0
"NVE2515",0,0,0,0,0,0,0,0,0,0
"NVE2516",0,0,0,0,1,0,0,1,0,1
"NVE2517",1,0,0,0,1,1,1,1,1,1
"NVE2518",0,0,0,0,0,0,0,0,0,0
"NVE2519",0,0,0,0,1,0,0,0,0,0
"NVE2520",0,0,0,0,1,0,0,0,0,0
"NVE2521",0,0,0,0,0,0,0,0,0,0
"NVE2522",0,0,0,0,0,0,0,0,0,0
"NVE2523",0,0,0,0,1,0,0,1,0,1
"NVE2524",0,0,0,0,0,0,0,0,0,0
"NVE2525",0,0,0,0,0,0,0,0,0,0
"NVE2526",0,0,0,0,0,0,0,0,0,0
"NVE2527",0,0,0,0,0,0,0,0,0,0
"NVE2528",0,0,0,0,0,0,0,0,0,0
"NVE2529",0,0,0,0,0,0,0,0,0,0
"NVE2530",0,0,0,0,0,0,0,0,0,0
"NVE2532",0,0,0,0,1,0,0,1,0,0
"NVE2533",0,0,0,0,1,0,0,0,0,0
"NVE2534",1,0,0,0,1,1,1,1,1,1
"NVE2535",0,0,0,0,1,0,0,0,0,0
"NVE2536",0,0,0,0,0,0,0,0,0,0
"NVE2537",0,0,0,0,0,0,0,0,0,0
"NVE2538",0,1,0,0,1,0,0,0,0,0
"NVE2539",1,0,0,0,1,1,1,1,1,1
"NVE2540",0,0,0,0,0,0,0,0,0,0
"NVE2541",0,0,0,0,0,0,0,0,0,0
"NVE2542",0,0,0,0,1,0,0,0,0,0
"NVE2543",0,0,0,0,0,0,0,0,0,0
"NVE2544",0,0,0,0,0,0,0,0,0,0
"NVE2545",0,0,0,0,1,0,1,1,0,1
"NVE2546",0,0,0,0,0,0,0,0,0,0
"NVE2547",0,0,0,0,0,0,0,0,0,0
"NVE2548",0,0,0,0,0,0,0,0,0,0
"NVE2549",0,0,0,0,0,0,0,0,0,0
"NVE2550",0,0,0,0,0,0,0,0,1,1
"NVE2551",1,0,0,0,1,0,1,1,0,0
"NVE2552",0,1,0,0,1,0,1,1,0,1
"NVE2553",0,0,0,0,0,0,0,0,0,0
"NVE2554",0,0,0,0,0,0,0,0,0,0
"NVE2555",0,0,0,0,0,0,0,1,1,1
"NVE2556",0,0,0,0,0,0,0,0,0,0
"NVE2557",0,0,0,0,0,0,1,0,0,0
"NVE2558",0,0,0,0,0,0,1,0,0,0
"NVE2559",0,0,0,0,0,0,0,0,0,0
"NVE2560",0,0,0,0,0,0,0,0,0,0
"NVE2561",1,1,0,0,1,1,1,1,1,1
"NVE2562",0,0,1,0,0,0,0,0,1,1
"NVE2563",0,0,0,0,0,0,0,0,0,0
"NVE2564",0,0,0,0,0,0,0,0,0,0
"NVE2565",0,0,0,0,0,0,0,0,0,0
"NVE2566",0,0,0,0,0,0,0,0,0,0
"NVE2567",0,0,0,0,0,0,0,0,0,0
"NVE2568",0,0,0,0,0,0,0,0,0,0
"NVE2570",0,0,0,0,0,0,0,0,0,0
"NVE2571",0,0,0,0,0,0,0,0,0,0
"NVE2572",0,0,0,0,0,0,0,0,0,0
"NVE2574",0,0,0,0,0,0,0,0,0,0
"NVE2575",0,0,0,0,0,0,0,0,0,0
"NVE2576",0,0,0,0,0,0,0,0,0,0
"NVE2577",0,0,0,0,0,0,0,0,0,0
"NVE2578",1,0,0,0,1,1,0,1,0,0
"NVE2579",0,0,0,0,0,0,0,1,0,0
"NVE2580",0,0,0,0,0,0,0,0,0,0
"NVE2581",0,0,0,0,0,0,0,0,0,0
"NVE2582",0,0,0,0,1,0,1,1,0,0
"NVE2583",0,0,0,0,0,0,0,0,0,0
"NVE2584",0,0,0,0,0,0,0,0,0,0
"NVE2585",0,0,0,0,0,0,0,0,0,0
"NVE2586",0,0,0,0,0,0,0,0,0,0
"NVE2587",0,0,0,0,0,0,0,0,0,0
"NVE2588",0,0,0,0,0,0,0,0,0,0
"NVE2589",0,0,0,0,0,0,0,0,0,0
"NVE2590",0,0,0,0,0,0,0,0,0,0
"NVE2591",0,0,0,0,0,0,0,0,0,0
"NVE2592",0,0,0,0,0,0,0,0,0,0
"NVE2593",0,0,0,0,0,0,0,0,0,0
"NVE2594",0,0,0,1,1,1,1,1,1,1
"NVE2595",0,0,0,0,0,0,0,0,0,0
"NVE2596",1,0,0,0,1,1,1,1,1,1
"NVE2597",0,0,0,0,0,0,0,0,0,0
"NVE2598",0,0,0,0,0,0,0,1,0,0
"NVE2599",0,0,0,0,0,1,0,1,0,0
"NVE2600",0,0,0,0,0,0,0,0,0,0
"NVE2601",0,0,0,0,0,0,0,0,0,0
"NVE2602",0,0,0,0,0,0,0,0,0,0
"NVE2603",0,0,0,0,1,1,0,1,0,1
"NVE2604",0,0,0,0,0,0,0,0,0,0
"NVE2605",0,0,0,0,0,0,0,0,0,0
"NVE2606",0,0,0,0,1,0,0,1,0,0
"NVE2607",0,0,0,0,1,0,1,1,0,0
"NVE2608",0,0,0,0,0,0,0,0,0,0
"NVE2609",0,0,0,0,0,0,0,0,0,0
"NVE2610",0,0,0,0,0,0,0,0,0,0
"NVE2611",0,0,0,0,0,0,0,0,0,0
"NVE2612",0,0,0,0,0,0,0,0,0,0
"NVE2613",0,0,0,0,1,0,0,0,0,0
"NVE2614",0,0,1,0,0,1,0,1,0,1
"NVE2615",0,0,0,0,1,0,0,0,0,0
"NVE2616",0,0,0,0,0,0,0,0,0,0
"NVE2617",0,0,0,0,1,0,0,1,0,0
"NVE2618",0,0,0,0,1,0,0,0,0,0
"NVE2619",0,1,0,0,0,0,0,0,1,0
"NVE2620",1,0,0,0,1,1,1,1,0,1
"NVE2621",0,0,0,0,0,0,0,0,0,0
"NVE2622",0,0,0,0,0,0,0,0,0,0
"NVE2623",0,0,0,0,0,0,0,0,0,0
"NVE2624",0,0,0,0,0,0,0,0,0,0
"NVE2625",0,0,0,0,0,0,0,0,0,0
"NVE2626",1,0,0,0,1,0,1,1,0,0
"NVE2627",0,0,0,0,0,0,0,0,0,0
"NVE2628",0,0,0,0,1,0,0,0,0,0
"NVE2629",0,0,0,0,0,0,0,0,0,0
"NVE2630",0,0,0,0,0,0,0,0,0,0
"NVE2631",0,0,0,0,0,0,0,0,0,0
"NVE2632",0,0,0,0,0,0,0,0,0,0
"NVE2633",1,0,0,0,1,1,1,1,1,1
"NVE2634",0,0,0,0,0,0,0,0,0,0
"NVE2635",0,1,1,0,1,1,0,1,1,1
"NVE2636",0,0,0,0,0,0,0,0,0,1
"NVE2637",0,0,0,0,1,0,0,1,0,1
"NVE2638",0,0,0,0,0,0,0,0,0,0
"NVE2639",1,0,0,0,0,0,0,0,0,0
"NVE2640",0,0,0,0,1,0,0,0,0,0
"NVE2641",0,0,0,0,1,0,1,1,1,1
"NVE2642",0,0,0,0,0,0,0,0,0,0
"NVE2643",0,0,0,0,0,0,0,0,0,0
"NVE2644",1,0,0,0,1,0,0,0,0,0
"NVE2645",0,0,0,0,0,0,0,0,0,0
"NVE2646",0,0,0,0,0,0,1,0,0,0
"NVE2647",0,0,0,0,0,0,0,0,0,0
"NVE2648",0,0,0,0,0,0,0,0,0,0
"NVE2649",0,0,0,0,0,0,0,0,0,0
"NVE2650",0,0,0,0,0,0,0,1,1,1
"NVE2651",0,0,0,0,0,0,0,0,0,0
"NVE2652",0,0,0,0,0,0,0,0,0,0
"NVE2653",0,0,0,0,1,0,0,0,0,0
"NVE2654",0,0,0,0,0,0,0,0,0,0
"NVE2655",0,0,0,0,0,0,0,0,0,0
"NVE2656",0,0,0,0,0,0,0,0,0,0
"NVE2657",0,0,0,0,0,0,0,0,0,0
"NVE2658",0,0,1,0,0,0,0,0,1,0
"NVE2659",0,0,0,0,0,0,0,0,0,0
"NVE2660",0,0,0,0,0,0,0,0,0,0
"NVE2661",0,0,0,0,0,0,0,0,0,0
"NVE2662",0,0,0,0,0,0,0,0,0,0
"NVE2664",0,0,0,0,0,0,0,0,0,0
"NVE2665",0,0,0,0,0,0,0,0,0,0
"NVE2666",0,0,0,0,0,0,0,0,0,0
"NVE2667",0,0,0,0,0,0,0,0,0,0
"NVE2668",0,0,0,0,0,0,0,0,0,0
"NVE2669",0,0,0,0,0,0,0,0,0,0
