"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE116",1,0,0,0,1,1,1,1,1,1
"NVE117",1,0,0,0,1,1,1,1,0,1
"NVE118",0,0,0,0,0,0,0,0,0,0
"NVE119",0,0,0,0,0,0,0,0,0,0
"NVE120",0,0,0,0,1,0,1,1,0,1
"NVE121",1,0,0,0,1,1,1,1,0,1
"NVE122",1,0,0,0,1,0,1,1,0,0
"NVE123",1,1,1,1,1,1,1,1,1,1
"NVE124",1,0,0,0,0,0,0,0,0,0
"NVE125",0,0,0,0,0,0,0,0,0,1
"NVE126",0,0,0,0,1,0,0,1,0,1
"NVE127",0,0,0,0,0,0,1,1,0,1
"NVE128",0,0,0,0,0,1,1,1,0,1
"NVE129",1,0,0,0,1,1,1,1,1,1
"NVE130",0,0,0,0,0,0,0,0,0,0
"NVE131",0,0,0,0,0,0,0,0,0,0
"NVE132",0,0,0,0,0,0,0,0,0,0
"NVE133",0,0,1,1,0,1,0,1,1,1
"NVE134",0,0,0,0,0,0,0,0,0,0
"NVE135",1,1,0,1,1,1,1,1,1,1
"NVE136",0,0,0,0,1,0,0,1,1,1
"NVE137",0,1,0,0,1,0,0,1,1,1
"NVE138",0,0,0,0,1,0,1,1,0,0
"NVE139",0,0,0,0,0,0,0,0,0,0
"NVE140",0,0,0,0,0,0,0,0,0,0
"NVE141",0,0,0,0,1,1,1,1,1,1
"NVE142",0,0,0,0,1,0,0,0,0,0
"NVE143",0,0,0,0,0,0,0,0,0,0
"NVE144",1,0,0,0,1,0,1,1,0,0
"NVE145",0,0,0,0,0,0,0,0,0,0
"NVE146",0,0,0,0,0,0,0,0,0,0
"NVE147",0,0,0,0,0,0,0,1,0,1
"NVE148",0,0,0,0,0,0,0,0,0,0
"NVE149",0,0,0,0,0,0,0,0,0,0
"NVE150",1,0,0,0,1,1,1,1,0,1
"NVE151",0,0,0,0,0,0,0,0,0,0
"NVE153",0,0,0,0,0,0,0,0,0,0
"NVE154",0,0,0,0,0,0,0,0,1,0
"NVE155",0,0,0,0,1,0,1,1,0,1
"NVE156",0,0,0,0,0,1,0,1,0,0
"NVE157",0,0,0,0,1,0,0,0,0,0
