UniqueCount	AmbigCount
24	97
3	0
0	21
30	26
212	80
563	351
389	88
0	0
129	73
813	160
0	14
15	77
5	9
0	22
1	0
0	0
73	39
516	2
810	9
224	28
53	2
41	1
362	58
578	21
310	433
512	3
1	0
1	24
59	0
154	4
1212	777
188	285
85	150
37	0
374	129
186	4
1533	43
4292	51
107	3
83	4
349	443
5378	92
1593	209
1806	25
50648	585
452	55
962	15
3066	32
91	0
70	523
3639	54
242	1
454	5
18	13863
5	164
7	155
510	7
252	6
283	13
2108	29
211	4
67	0
324	10
39	1
1199	18
316	6
87	10
180	78
44447	29016
100	31
206	94
66	1
71	6
314	7
83	5
735	239
229	0
1093	11
494	3
605	115
315	3
29	2
13	6493
5	0
468	6
176	5
19	4
367	5
82	73
81	76
114	1
26	1
111	1
1	0
1032	13
481	269
66	288
105	335
69	27
292	7
473	6
170	0
1655	15
311	7
118	4
952	7
98	1
2361	110
315	3
456	10
407	25
169	5
2	35219
2803	14070
224	46
9	64823
5	673034
14	123392
1	5
34	79
4	313371
13	664585
114	79
0	241171
3	2
809	25
2153	54
1256	28
581	362
5	272
445	5
57	5401
89	5
130	2
306	4
256	2
46	2
57	5487
142	5
611	10
344	1
129	2
73	2
155	3
6	1
27	0
32	4
63	5
57	30
148	0
45	1
47	1
702	217
175	9
191	7
142	1
0	0
178	239
1217	34
1575	54
0	125
94	0
79	174
22	12
28	23
7	2
3540	442
364	93
38	2
297	6
750	6
365	5
398	7
90	0
2366	44
27	69
0	26
0	20
26	1
58	239
41	28
50	2
58	0
131	151
10	1
32	17
5	61
413	44
812	148
544	3
449	4
440	10
1	0
11	20656
178	12
215	210
52	2
43	94
19	1
83	18
401	20
251	22
1	1788
475	4338
879	6810
8	4
135	0
320	2
484	13
908	19
986	31
113	8
68	11
1061	13
244	4
281	0
2858	116
202	1
707	8
372	188
1134	646
830	21
5	240
690	6
1779	2527
203	6
177	2
16	2
7251	124
224	3
254	6
199	0
1801	26
9	0
496	125
29	137
258	13
227	17
36	0
0	0
3467	518
595	85
602	7
117	1
642	544
667	69
142	63
62	0
1296	210
78	1
120	11
2014	38
146	11
621	220
0	38
0	32
15	38
508	137
0	59
5	260
39	307
5	216
35	0
100	4
188	4
153	5
53	38
39	22
275	86
14	318
34	7
191	319
515	10
130	5
24	37
107	7
2	0
1	147
147	4
692	20
595	4
11	0
93	29
1	70
656	112
243	240
924	13
105	3
115	18
427	307
676	5
256	59
1	1280
1074	1608
710	187
625	74
871	9
5724	109
101	11
286	5
43	0
0	199
544	6665
148	1793
604	11
58	0
16	121
396	4304
78	1785
415	744
269	17
29	2
69	17
0	0
0	395
132	3
491	28
151	3
491	23
342	7
999	278
2640	2152
0	46
1470	58
131	293
869	140
388	3
208	2
0	18602
119	3
359	7
969	69
12	0
1406	1049
1	44
11	23
145	1492
6968	110
43	1
0	0
0	444
10	33
0	36
277	23
1	169
65	0
457	194
1	169
85	73
608	302
391	140
209	8
214	166
33	28
3228	571
501	77
423	11
178	102
270	3
1786	827
470	107
248	2
11898	467
74	8
91	6
98	1
475	6
1454	24
227	2
240	3
15	0
170	2
575	5
179	11
74852	906
209	1
7810	198
149	4
218	15
403	10
293	7
840	25
38	20
509	75
203	60
18	1
844	73
0	5881
7	4991
179	6
177	45
37	0
821	5623
16	3
144	31
1966	1778
5037	106
57	115
483	39
1196	150
293	1
491	237
295	70
0	135
185	197
213	40
189	2
761	261
125	2
19154	286
172	14
470	8
106	535
158	4
255	14
246	3
50	1
89	2
358	1
103	41
76	4
72	2
439	3
367	4
573	11
661	1831
180	615
2	31
651	214
0	4
19	6
107	2
104	12
