UniqueCount	AmbigCount
16	78
3	0
0	20
27	28
238	63
640	367
277	85
0	0
112	65
738	137
0	14
6	57
2	12
0	12
0	1
2	1
65	33
554	4
801	5
357	33
34	0
55	0
351	63
534	14
372	396
543	9
1	0
1	0
42	1
187	3
1721	1242
134	247
60	91
26	0
307	93
191	3
1352	21
3456	35
104	1
85	14
434	541
5279	52
1678	191
2067	21
40080	333
389	37
1184	23
3513	36
62	0
102	441
4564	37
139	3
318	3
24	18191
6	238
10	129
439	4
264	1
290	8
2296	25
211	0
60	0
426	5
23	0
1107	10
347	8
88	17
161	61
36488	23086
151	31
240	62
53	0
95	5
307	7
91	7
710	226
217	3
984	5
532	3
849	158
270	5
24	0
8	8223
8	0
574	7
131	9
16	3
356	5
17	37
57	36
77	0
26	0
164	2
2	0
1413	15
515	239
40	255
100	302
79	13
360	1
434	5
205	0
1901	14
297	1
107	1
1033	11
101	1
2166	94
286	5
507	4
325	22
157	0
5	53092
3147	12082
148	26
14	81966
8	855138
4	157907
1	7
16	124
11	398158
12	853301
177	130
1	305014
3	5
819	31
1921	48
1203	33
491	384
2	309
362	6
31	6541
123	1
98	1
306	1
351	5
43	0
55	5968
153	1
533	6
282	4
111	0
91	0
124	3
13	1
31	5
40	0
50	1
73	32
118	0
48	3
29	1
629	231
210	5
177	0
148	3
0	0
172	203
1481	34
1571	38
0	90
80	0
55	116
19	4
34	23
7	7
3225	388
422	64
25	1
306	2
831	1
420	0
414	2
105	0
1852	31
15	98
0	16
0	14
34	0
42	177
35	28
33	2
79	2
135	111
7	1
18	25
6	72
434	91
1117	130
652	4
430	3
420	7
2	0
15	30232
177	11
190	162
48	0
42	173
19	1
69	7
411	25
202	25
3	2365
347	4684
871	8458
7	1
135	1
287	0
509	4
689	6
939	39
147	13
94	15
1137	11
313	4
243	3
2690	92
177	1
733	6
454	189
1637	811
796	10
4	326
595	10
1869	2392
190	3
170	1
9	3
6072	78
198	2
275	4
182	0
1997	21
14	0
417	66
28	116
275	11
228	8
34	0
0	0
3975	452
535	80
634	12
137	2
514	358
678	60
154	53
62	0
1358	277
46	0
101	20
2598	27
121	1
636	286
0	34
0	35
9	44
543	120
1	61
3	248
41	291
3	228
39	0
86	1
176	3
133	2
61	16
35	9
293	66
8	300
31	11
223	302
563	8
192	9
32	35
96	5
3	0
0	283
185	3
759	4
