sampleID	name	sample	treatment	identity	dpr	replicate	dynamics	order	boxplots	boxplots_2	days
G03352	bJ_A_14d_4	bJ_A_14d	bJ	recol_14d	14d	9	y	9	recol_14d	bA_14d	14
G03353	bJ_A_14d_5	bJ_A_14d	bJ	recol_14d	14d	10	y	9	recol_21d	bE_21d	14
G03354	bA_A_14d_1	bA_A_14d	bA	recol_14d	14d	11	y	14	recol_21d	bE_21d	14
G03355	bA_A_14d_2	bA_A_14d	bA	recol_14d	14d	12	y	14	recol_21d	bE_21d	14
G03356	bA_A_14d_3	bA_A_14d	bA	recol_14d	14d	13	y	14	recol_21d	bE_21d	14
G03357	bA_A_14d_4	bA_A_14d	bA	recol_14d	14d	14	y	14	recol_21d	bE_21d	14
G03358	bA_A_14d_5	bA_A_14d	bA	recol_14d	14d	15	y	14	recol_21d	bJ_21d	14
G03369	bL_A_28d_1	bL_A_28d	bL	recol_28d	28d	1	y	5	recol_28d	bE_28d	28
G03370	bL_A_28d_2	bL_A_28d	bL	recol_28d	28d	2	y	5	recol_28d	bE_28d	28
G03371	bL_A_28d_3	bL_A_28d	bL	recol_28d	28d	3	y	5	recol_28d	bE_28d	28
G03372	bL_A_28d_4	bL_A_28d	bL	recol_28d	28d	4	y	5	recol_28d	bE_28d	28
G03373	bL_A_28d_5	bL_A_28d	bL	recol_28d	28d	5	y	5	recol_28d	bJ_28d	28
G03374	bJ_A_28d_1	bJ_A_28d	bJ	recol_28d	28d	6	y	10	recol_28d	bJ_28d	28
G03375	bJ_A_28d_2	bJ_A_28d	bJ	recol_28d	28d	7	y	10	recol_28d	bJ_28d	28
G03376	bJ_A_28d_3	bJ_A_28d	bJ	recol_28d	28d	8	y	10	recol_28d	bJ_28d	28
G03377	bJ_A_28d_4	bJ_A_28d	bJ	recol_28d	28d	9	y	10	recol_28d	bJ_28d	28
G03378	bJ_A_28d_5	bJ_A_28d	bJ	recol_28d	28d	10	y	10	recol_28d	bA_28d	28
G03379	bA_A_28d_1	bA_A_28d	bA	recol_28d	28d	11	y	15	recol_28d	bA_28d	28
G03380	bA_A_28d_2	bA_A_28d	bA	recol_28d	28d	12	y	15	recol_28d	bA_28d	28
G03381	bA_A_28d_3	bA_A_28d	bA	recol_28d	28d	13	y	15	recol_28d	bA_28d	28
G03382	bA_A_28d_4	bA_A_28d	bA	recol_28d	28d	14	y	15	recol_28d	bA_28d	28
