,G03278,G03279,G03280,G03281,G03282,G03283,G03284,G03285,G03286,G03287,G03288,G03289,G03290,G03291,G03292,G03303,G03304,G03305,G03306,G03307,G03308,G03309,G03310,G03311,G03312,G03313,G03314,G03315,G03316,G03317,G03318,G03324,G03325,G03326,G03327,G03328,G03329,G03330,G03331,G03332,G03333,G03334,G03335,G03336,G03337,G03338,G03344,G03345,G03346,G03347,G03348,G03349,G03350,G03351,G03352,G03353,G03354,G03355,G03356,G03357,G03358,G03369,G03370,G03371,G03372,G03373,G03374,G03375,G03376,G03377,G03378,G03379,G03380,G03381,G03382
cluster16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000761235,0,0,0,0,8.70E-05,0,0,0,0,0,0,0,0,7.58E-05,0,0,0,0,0
cluster17,0.001609907,0.001472402,0.001237454,0.000758948,0.001607227,0.00114605,0.001555736,0.001630344,0.000906344,0.000786702,0.00034579,0.000708085,0.001290921,0.000955947,0.001178735,0.000256219,0.000895502,0.000268164,0.000142677,0,0,0.00029809,0.000218717,0.00019685,0,0,0,0.000253678,0.00318335,0,0,0.000756413,0.000315994,0.00031185,0.000570716,0,0.000677247,0.001596654,0.000570619,0.000541105,0.000921565,0.000196857,0.000613616,0.000885565,0.000355156,0.00121627,0.0006777,0.000830819,0.000678168,0.001515083,0,0.001301038,0.003071718,0.001119467,0.001162312,0.001417472,0.0009494,0.001307357,0.001257326,0.001491243,0.002174953,0.001715576,0.000999469,0.003163996,0.002409469,0.001227809,0.0039481,0,0.007219211,0.059510876,0.00477327,0.001243599,0.001848467,0.005100582,0.001768942
cluster18,0.013292054,0.017947392,0.025024062,0.014909661,0.023692742,0.018229353,0.013550686,0.009398451,0.010607586,0.014084507,0.047941314,0.042721146,0.049452186,0.021090576,0.062665384,0.002754351,0.001584349,0.002216819,0.00283315,0.002590416,0.005619748,0.021370754,0.011756021,0.00636483,0.023143881,0.009431235,0.021138379,0.010062573,0.008212508,0.018528901,0.011580421,0.010697845,0.003913466,0.001637214,0.002092625,0.00492565,0.0188157,0.002608618,0.00281628,0.006997052,0.013072565,0.008464845,0.006814365,0.005982485,0.014058245,0.020252305,0.004149426,0.005465914,0.013373481,0.007055312,0.000993974,0.054006919,0.000556471,0.059877146,0.004842966,0.036801764,0.015908857,0.005434503,0.005348962,0.016473036,0.00604637,0.001474793,0.002998408,0.001168017,0.006362871,0.002415361,0.00205746,0.001016467,0.002963676,0.002198024,0.004593146,0.002950499,0.010844338,0.007341025,0.004801415
cluster20,0.001073271,0.000795893,0.00092809,0.000905841,0.000886746,0.000465583,0.000518579,0.001222758,0.000436388,0.001192742,0,0.00136372,0.000728212,0.00053772,0.000673563,0.001409203,0.002525774,0.001501716,0.000876442,0.00149447,0.000761555,0.006122309,0.001066244,0.002198163,0.001331285,0.000831105,0.000893655,0.001381138,0.011074849,0.000392443,0.000320868,0.003717231,0.001944579,0.000883576,0.000824367,0.003252788,0.002944554,0.005082306,0.001141237,0.005746912,0.003242542,0.004757374,0.010722129,0.007123881,0.014235823,0.017452056,0.002782137,0.001814684,0.005343967,0.0029171,0.000807604,0.003847751,0.000267106,0.006085309,0.002929995,0.011681016,0.005773376,0.003076134,0.006670218,0.007803017,0.014050198,0.001143717,0.001155636,0.001818558,0.00217554,0.000784993,0.003373494,0.000838585,0.002457065,0.003840226,0.005043455,0.003218727,0.008010023,0.014253027,0.016257423
cluster23,0.189102167,0.149150384,0.173621614,0.172109876,0.137334774,0.044373612,0.04331259,0.03498046,0.034944612,0.039309732,0.009978512,0.005454879,0.012015491,0.012068828,0.010368054,0.107206149,0.130261073,0.085150887,0.071888631,0.094774335,0.036712185,0.031849763,0.051261722,0.033759843,0.048711384,0.00317988,0.005327559,0.001719375,0.021855438,0.001990245,0.002975322,0.138510082,0.146937287,0.20956341,0.14546915,0.351022305,0.016283384,0.036857965,0.07040698,0.064746054,0.034370947,0.139702746,0.046763984,0.084541966,0.064963893,0.054703852,0.090966377,0.041234859,0.018310547,0.066030483,0.088090949,0.010242215,0.074366736,0.022446754,0.034457709,0.017324654,0.157420712,0.068879774,0.132509323,0.064886423,0.107877681,0.016523702,0.011774995,0.009684192,0.015883784,0.015377803,0.023762743,0.001168937,0.020543087,0.018910588,0.007092358,0.089173372,0.056645238,0.082276671,0.097081245
cluster24,0.001733746,0.00230809,0.001546817,0.00266856,0.002604816,0.000931165,0.000834235,0.00093505,0.000973481,0.001674914,0.000444587,0.001258818,0.000993016,0.000438142,0.000264614,0.000256219,0.000344424,0,0,9.96E-05,0,0,0,9.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46E-05,0.00017066,0,0,0,0,0,5.94E-05,0.0002405,0.00016276,0.000203519,0.001242468,0,0,0.000631494,0,0,0,0,0,0.0001734,0,0,0.001311803,0.000916672,0.000631608,0.14383479,0.000111214,0,0,0.000113691,0.00054037,0,0,0,0
cluster25,0,0,0,0,0,0,0,0,0,0,0.00034579,0.00068186,0.000165503,0.000119493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401263,0,0,0,0,0,0,0,0,0,0,7.46E-05,0,0,0,0,0,0,0.000142674,0,0,0.000180905,0,0,0,0.000315747,0.000217934,0.000446241,7.70E-05,0,8.52E-05,0.00010404,0,0.001504891,0.001717837,0.002055119,0.002105362,0.001569985,0.002798888,0.000863997,0.003875576,0.001351659,0.001373441,0.000316996,0.000534002,0.001096387,0.000294824
cluster27,0.02125903,0.027299136,0.039426647,0.027003868,0.036218029,0.001074422,0.001037157,0.000503488,0.00040282,0.00111661,0.019635933,0.023419265,0.027539638,0.011829841,0.027279288,0.096338209,0.086794792,0.211384439,0.165362195,0.176746039,0.021796219,0.032583522,0.057877901,0.059284777,0.053183137,0.238852353,0.273733416,0.21999549,0.004360387,0.30010652,0.312438014,0.018456485,0.012834225,0.008549896,0.013126466,0.033178438,0.00680192,0.001214356,0.032083494,0.001194164,0.011297699,0.031497096,0.056065108,0.02040736,0.017905766,0.05903151,0.003828411,0.00400105,0.008816189,0.007688481,0.001397776,0.001577855,0.001669412,0.015471612,0.000895949,0.005118648,0.006081289,0.007331454,0.005625999,0.026599618,0.010265779,0.003942815,0.001155636,0.001389793,0.004935904,0.000684352,0.000203892,0,0.000253306,0.000265279,0.000225154,0.001780054,0.00624371,0.002621794,0.004506591
cluster30,0.002600619,0.001910144,0.001649938,0.001371003,0.00138554,0.038500107,0.030122655,0.036011412,0.023967774,0.030326101,0,0.001494846,0.000165503,0.001692822,0.000890065,0.000725953,0.000298501,0,0.000163059,0,0.002415966,0.00013758,0.000984225,0.001148294,0.000819252,0,0,0,0.039965759,0,0,0.000929308,0.002236266,0.001117464,0.000697542,0.000325279,0.000677247,0.000247369,0.00174867,0.001959175,0.001262885,0.000262476,0.000258365,0.000590377,0.000266367,0.001527408,0.011699244,0.035462854,0.016004774,0.023223735,0.005932783,0.033688581,0.005075012,0.000660199,0.00581156,0,0.000590167,0.000589592,0.001172083,0.000520201,0.004132411,0.039006772,0.07452291,0.053211308,0.027673809,0.036471962,0.001797961,0.447956902,0.008257764,0.002993861,0.002769397,0.006998293,0.005031937,0.005386595,0.005180474
cluster31,0,0,0.000343737,0.000318269,0.000277108,0.000250698,0.000608766,0,0,0.000279152,0.008076666,0.003147046,0.005627089,0.003206405,0.011330286,0.000106758,0,0,0,0.000124539,0.000105042,0.00034395,0.000164038,0,0,0,0,0,0.000695522,0,0,0,0,0,0.000169101,0,0,0,0,0,0,0,0,0,0,0,0.000772816,0,0.000325521,0.001266338,6.21E-05,0.000608997,0,0.003674149,0.000605371,0.007533599,0,0,0.000106553,0,0,0.001053424,0,0.002232539,0.0032984,0.000422688,0.004522706,0,0.001975784,0.001995907,0.003377314,0,0.001150157,0.000762704,0
